Macro Região;UF;Região;Município;Código Município;Qtd. Empregos Hospedagem;Qtd. Estabelecimentos Hospedagem;Demanda Internacional;Demanda Doméstica;Cluster 2017 (Categoria)
Norte;PA;Amazônia Atlântica;Bragança;1501709;60;12;430;111.766;C
Norte;PA;Xingu;Brasil Novo;1501725;0;0;0;0;E
Norte;PA;Araguaia-Tocantins;Brejo Grande do Araguaia;1501758;0;1;0;3.499;D
Norte;PA;Araguaia-Tocantins;Breu Branco;1501782;16;3;0;17.425;D
Norte;PA;Marajó;Breves;1501808;3;4;74;9.322;D
Norte;PA;Amazônia Atlântica;Bujaru;1501907;0;0;0;3.457;D
Norte;PA;Marajó;Cachoeira do Arari;1502004;0;0;0;652;D
Norte;PA;Araguaia-Tocantins;Cametá;1502103;11;7;102;79.563;C
Norte;PA;Araguaia-Tocantins;Canaã dos Carajás;1502152;140;10;114;20.900;C
Norte;PA;Amazônia Atlântica;Capanema;1502202;25;9;149;8.288;C
Norte;PA;Amazônia Atlântica;Capitão Poço;1502301;19;3;1.322;4.090;D
Norte;PA;Amazônia Atlântica;Castanhal;1502400;92;6;3.056;24.729;C
Norte;PA;Marajó;Chaves;1502509;0;0;0;681;D
Norte;PA;Amazônia Atlântica;Colares;1502608;0;0;0;16.457;D
Norte;PA;Araguaia-Tocantins;Conceição do Araguaia;1502707;18;6;124;37.250;C
Norte;PA;Araguaia-Tocantins;Cumaru do Norte;1502764;0;0;0;2.468;D
Norte;PA;Marajó;Curralinho;1502806;0;0;0;2.468;D
Norte;PA;Tapajós;Curuá;1502855;0;0;0;0;E
Norte;PA;Amazônia Atlântica;Curuçá;1502905;0;0;0;22.530;D
Norte;PA;Amazônia Atlântica;Dom Eliseu;1502939;43;5;0;1.054;D
Norte;PA;Araguaia-Tocantins;Eldorado dos Carajás;1502954;17;4;287;0;D
Norte;PA;Tapajós;Faro;1503002;0;0;0;0;E
Norte;PA;Araguaia-Tocantins;Floresta do Araguaia;1503044;2;1;0;0;D
Norte;PA;Amazônia Atlântica;Garrafão do Norte;1503077;0;0;0;0;E
Norte;PA;Araguaia-Tocantins;Goianésia do Pará;1503093;10;4;0;0;D
Norte;PA;Marajó;Gurupá;1503101;0;0;0;0;E
Norte;PA;Amazônia Atlântica;Igarapé-Açu;1503200;5;1;0;25.496;D
Norte;PA;Amazônia Atlântica;Ipixuna do Pará;1503457;3;2;0;0;D
Norte;PA;Amazônia Atlântica;Irituia;1503507;0;0;0;4.936;D
Norte;PA;Tapajós;Itaituba;1503606;99;16;948;37.983;C
Norte;PA;Araguaia-Tocantins;Itupiranga;1503705;2;2;0;7.527;D
Norte;PA;Tapajós;Jacareacanga;1503754;41;2;0;2.468;D
Norte;PA;Araguaia-Tocantins;Jacundá;1503804;5;1;0;1.379;D
Norte;PA;Tapajós;Juruti;1503903;12;6;0;27.903;D
