UF;REGIAO;MUNICIPIO;CATEGORIA
MG;Serras de Minas;Araponga;D
MG;Alta Mogiana;Araporã;E
MG;Caminhos do Cerrado;Arapuá;E
MG;Canastra;Araxá;B
MG;Montanhas Cafeeiras de Minas;Arceburgo;D
MG;Grutas e Mar de Minas;Arcos;D
MG;Montanhas Cafeeiras de Minas;Areado;D
MG;Serras e Cachoeiras;Argirita;E
MG;Urucuia Grande Sertão;Arinos;D
MG;Serras e Cachoeiras;Astolfo Dutra;D
MG;Serra do Cabral;Augusto de Lima;D
MG;Águas;Baependi;D
MG;Grutas;Baldim;D
MG;Ouro;Barão de Cocais;C
MG;Trilha dos Inconfidentes;Barbacena;C
MG;Serras de Minas;Barra Longa;E
MG;Trilha dos Inconfidentes;Barroso;D
MG;Belo Horizonte;Belo Horizonte;A
MG;Mata Atlântica de Minas;Belo Oriente;D
MG;Veredas do Paraopeba;Belo Vale;D
MG;Lago de Irapé;Berilo;D
MG;Cachaça;Berizal;E
MG;Vale do Jequitinhonha;Bertópolis;E
MG;Serras de Ibitipoca;Bias Fortes;E
MG;Caminhos Verdes de Minas;Bicas;D
MG;Grutas e Mar de Minas;BOA ESPERANÇA;C
MG;Sertão Gerais;Bocaiúva;D
MG;Caminhos do Indaiá;Bom Despacho;D
MG;Serras de Ibitipoca;Bom Jardim de Minas;D
MG;Montanhas Cafeeiras de Minas;Bom Jesus da Penha;D
MG;Serras Verdes do Sul de Minas;Bom Repouso;E
MG;Veredas do Paraopeba;BONFIM;E
MG;Urucuia Grande Sertão;Bonfinópolis de Minas;D
MG;Velho Chico;Bonito de Minas;D
MG;Malhas do Sul de Minas;Borda da Mata;D
MG;Lago de Irapé;Botumirim;D
MG;Sertão Gerais;Brasília de Minas;D
MG;Nascente do Rio Doce;Brás Pires;D
MG;Caminhos do Sul de Minas;Brazópolis;D
MG;Veredas do Paraopeba;Brumadinho;D
MG;Serras Verdes do Sul de Minas;Bueno Brandão;C
MG;Serra do Cabral;Buenópolis;D
MG;Noroeste das Gerais;Buritis;C
MG;Guimarães Rosa;Buritizeiro;D
MG;Noroeste das Gerais;Cabeceira Grande;D
MG;Caminhos Gerais;Cabo Verde;D
MG;Serras Verdes do Sul de Minas;Cachoeira de Minas;D
MG;Alta Mogiana;Cachoeira Dourada;E
MG;Grutas;Caetanópolis;D
MG;Ouro;Caeté;C
MG;Pico da Bandeira;Caiana;D
MG;Caminhos Gerais;Caldas;C
MG;Serras Verdes do Sul de Minas;Camanducaia;B
MG;Serras Verdes do Sul de Minas;Cambuí;C
MG;Águas;Cambuquira;D
MG;Pedras Preciosas;Campanário;E
MG;Águas;Campanha;D
MG;Grutas e Mar de Minas;Campo Belo;D
MG;Canastra;Campos Altos;D
MG;Lago de Furnas;Campos Gerais;D
MG;Serras de Minas;Canaã;D
MG;Pico da Bandeira;Caparaó;D
MG;Pedras Preciosas;Capelinha;D
MG;Grutas;Capim Branco;D
MG;Trilhas do Rio Doce;Capitão Andrade;E
MG;Nascentes das Gerais;Capitólio;C
MG;Pico da Bandeira;Caputira;E
MG;Villas e Fazendas de Minas;Caranaíba;E
MG;Nascente do Rio Doce;Carandaí;D
MG;Pico da Bandeira;Carangola;C
MG;Rota do Muriqui;Caratinga;C
MG;Diamantes;Carbonita;D
MG;Pedras Preciosas;Carlos Chagas;D
MG;Vale Verde e Quedas D'Água;Carmo da Cachoeira;D
MG;Campo das Vertentes;Carmo da Mata;D
MG;Águas;Carmo de Minas;D
MG;Campo das Vertentes;Carmo do Cajuru;D
MG;Caminhos do Cerrado;Carmo do Paranaíba;D
MG;Nascentes das Gerais;Carmo do Rio Claro;C
MG;Campo das Vertentes;Carmópolis de Minas;D
MG;Trilha dos Inconfidentes;Carrancas;D
MG;Villas e Fazendas de Minas;Casa Grande;D
MG;Nascentes das Gerais;Cássia;D
MG;Serras e Cachoeiras;Cataguases;C
MG;Ouro;Catas Altas;D
MG;Villas e Fazendas de Minas;Catas Altas da Noruega;E
MG;Pedras Preciosas;Catuji;E
MG;Águas;Caxambu;C
MG;Caminhos do Indaiá;Cedro do Abaeté;E
MG;Alta Mogiana;Centralina;D
MG;Lago de Irapé;Chapada do Norte;E
MG;Urucuia Grande Sertão;Chapada Gaúcha;D
MG;Caminhos Verdes de Minas;Chiador;D
MG;Nascente do Rio Doce;Cipotânea;E
MG;Nascentes das Gerais;Claraval;E
MG;Serra do Cabral;Claro dos Poções;E
MG;Campo das Vertentes;Cláudio;D
MG;Trilhas do Rio Doce;Coluna;E
MG;Trilha dos Inconfidentes;Conceição da Barra de Minas;E
MG;Alta Mogiana;Conceição das Alagoas;D
MG;Caminhos do Sul de Minas;Conceição das Pedras;E
MG;Serra do Cipó;Conceição do Mato Dentro;C
MG;Águas;Conceição do Rio Verde;D
MG;Serras Verdes do Sul de Minas;Conceição dos Ouros;D
MG;Velho Chico;Cônego Marinho;E
MG;Serras Verdes do Sul de Minas;Congonhal;D
MG;Ouro;Congonhas;C
MG;Serra do Cipó;Congonhas do Norte;E
MG;Alta Mogiana;Conquista;D
MG;Villas e Fazendas de Minas;Conselheiro Lafaiete;C
MG;Trilhas do Rio Doce;Conselheiro Pena;D
MG;Serras Verdes do Sul de Minas;Consolação;E
MG;Vale Verde e Quedas D'Água;Coqueiral;E
MG;Lago de Irapé;Coração de Jesus;D
MG;Grutas;Cordisburgo;D
MG;Guimarães Rosa;Corinto;D
MG;Trilhas do Rio Doce;Coroaci;D
MG;Mata Atlântica de Minas;Coronel Fabriciano;C
MG;Vale do Jequitinhonha;Coronel Murta;D
MG;Caminhos Verdes de Minas;Coronel Pacheco;E
MG;Trilha dos Inconfidentes;Coronel Xavier Chaves;D
MG;Serras Verdes do Sul de Minas;Córrego do Bom Jesus;D
MG;Rota do Muriqui;Córrego Novo;D
MG;Diamantes;Couto de Magalhães de Minas;E
MG;Grutas e Mar de Minas;Cristais;D
MG;Villas e Fazendas de Minas;Cristiano Otoni;E
MG;Caminhos do Sul de Minas;Cristina;D
MG;Águas;Cruzília;D
MG;Trilhas do Rio Doce;Cuparaque;E
MG;Lago de Irapé;Curral de Dentro;E
MG;Guimarães Rosa;Curvelo;C
MG;Diamantes;Datas;E
MG;Caminhos do Sul de Minas;Delfim Moreira;D
MG;Nascentes das Gerais;Delfinópolis;D
MG;Alta Mogiana;Delta;E
MG;Caminhos Verdes de Minas;Descoberto;D
MG;Veredas do Paraopeba;Desterro de Entre Rios;E
MG;Diamantes;Diamantina;B
MG;Mata Atlântica de Minas;Dionísio;D
MG;Nascente do Rio Doce;Divinésia;D
MG;Serra do Brigadeiro;Divino;D
MG;Verde - Trilha dos Bandeirantes;Divinópolis;B
MG;Vale do Jequitinhonha;Divisa Alegre;E
MG;Lago de Furnas;Divisa Nova;E
MG;Vale do Jequitinhonha;Divisópolis;E
MG;Noroeste das Gerais;Dom Bosco;D
MG;Serras de Minas;Dom Silvério;D
MG;Águas;Dom Viçoso;E
MG;Serras e Cachoeiras;Dona Eusébia;D
MG;Trilha dos Inconfidentes;Dores de Campos;D
MG;Trilhas do Rio Doce;Dores de Guanhães;E
MG;Caminhos do Indaiá;Dores do Indaiá;D
MG;Pico da Bandeira;Durandé;E
MG;Lago de Furnas;Elói Mendes;D
MG;Trilhas do Rio Doce;Engenheiro Caldas;D
MG;Serra do Cabral;Engenheiro Navarro;E
MG;Trilha dos Inconfidentes;Entre Rios de Minas;D
MG;Serra do Brigadeiro;Ervália;D
MG;Pico da Bandeira;Espera Feliz;C
MG;Serras Verdes do Sul de Minas;Estiva;D
MG;Serras e Cachoeiras;Estrela Dalva;E
MG;Lago de Três Marias;Estrela do Indaiá;D
MG;Serra do Brigadeiro;Eugenópolis;E
MG;Serras Verdes do Sul de Minas;Extrema;C
MG;Lago de Furnas;Fama;D
MG;Diamantes;Felício dos Santos;D
MG;Guimarães Rosa;Felixlândia;D
MG;Serra do Brigadeiro;Fervedouro;E
MG;Veredas do Paraopeba;Florestal;D
MG;Grutas e Mar de Minas;Formiga;C
MG;Urucuia Grande Sertão;Formoso;D
MG;Pedras Preciosas;Francisco Badaró;E
MG;Serra do Cabral;Francisco Dumont;D
MG;Pedras Preciosas;Franciscópolis;E
MG;Sertão Gerais;Francisco Sá;D
MG;Trilhas do Rio Doce;Frei Lagonegro;E
MG;Alta Mogiana;Fronteira;D
MG;Cachaça;Fruta de Leite;E
MG;Grutas;Funilândia;D
MG;Sertão Gerais;Glaucilândia;E
MG;Trilhas do Rio Doce;Goiabeira;D
MG;Caminhos Verdes de Minas;Goianá;D
MG;Serras Verdes do Sul de Minas;Gonçalves;C
MG;Trilhas do Rio Doce;Gonzaga;D
MG;Diamantes;Gouveia;D
MG;Trilhas do Rio Doce;Governador Valadares;B
MG;Lago de Irapé;Grão Mogol;D
MG;Trilhas do Rio Doce;Guanhães;C
MG;Nascentes das Gerais;Guapé;D
MG;Serras de Minas;Guaraciaba;D
MG;Montanhas Cafeeiras de Minas;Guaranésia;D
MG;Caminhos Verdes de Minas;Guarani;D
MG;Noroeste das Gerais;Guarda-Mor;D
MG;Montanhas Cafeeiras de Minas;Guaxupé;C
MG;Serras de Ibitipoca;Ibertioga;E
MG;Lago de Irapé;Ibiaí;D
MG;Nascentes das Gerais;Ibiraci;D
MG;Veredas do Paraopeba;Ibirité;E
MG;Trilha dos Inconfidentes;Ibituruna;D
MG;Veredas do Paraopeba;Igarapé;D
MG;Vale Verde e Quedas D'Água;Ijaci;D
MG;Rota do Muriqui;Imbé de Minas;E
MG;Malhas do Sul de Minas;Inconfidentes;D
MG;Cachaça;Indaiabira;D
MG;Vale Verde e Quedas D'Água;Ingaí;E
MG;Rota do Muriqui;Inhapim;D
MG;Grutas;Inhaúma;D
MG;Guimarães Rosa;Inimutaba;D
MG;Rota do Muriqui;Ipanema;D
MG;Mata Atlântica de Minas;Ipatinga;B
MG;Ouro;Itabira;C
MG;Trilhas do Rio Doce;Itabirinha;D
MG;Ouro;Itabirito;C
MG;Sertão Gerais;Itacambira;D
MG;Velho Chico;Itacarambi;D
MG;Veredas do Paraopeba;Itaguara;D
MG;Pedras Preciosas;Itaipé;D
MG;Caminhos do Sul de Minas;Itajubá;C
MG;Pedras Preciosas;Itamarandiba;D
MG;Serras e Cachoeiras;Itamarati de Minas;E
MG;Pedras Preciosas;Itambacuri;D
MG;Serra do Cipó;Itambé do Mato Dentro;D
MG;Montanhas Cafeeiras de Minas;Itamogi;E
MG;Terras Altas da Mantiqueira;Itamonte;D
MG;Terras Altas da Mantiqueira;Itanhandu;D
MG;Trilhas do Rio Doce;Itanhomi;E
MG;Campo das Vertentes;Itapecerica;D
MG;Serras Verdes do Sul de Minas;Itapeva;D
MG;Nascentes das Gerais;Itaú de Minas;D
MG;Villas e Fazendas de Minas;Itaverava;D
MG;Vale do Jequitinhonha;Itinga;D
MG;Vale Verde e Quedas D'Água;Itumirim;E
MG;Trilha dos Inconfidentes;Itutinga;D
MG;Serra do Cipó;Jaboticatubas;C
MG;Vale do Jequitinhonha;Jacinto;D
MG;Malhas do Sul de Minas;Jacutinga;D
MG;Trilhas do Rio Doce;Jaguaraçu;E
MG;Velho Chico;Jaíba;D
MG;Velho Chico;Januária;C
MG;Velho Chico;Japonvar;D
MG;Veredas do Paraopeba;Jeceaba;D
MG;Pedras Preciosas;Jenipapo de Minas;D
MG;Montanhas e Fé;Jequeri;D
MG;Grutas;Jequitibá;D
MG;Vale do Jequitinhonha;Jequitinhonha;D
MG;Noroeste das Gerais;João Pinheiro;C
MG;Serra do Cabral;Joaquim Felício;E
MG;Vale do Jequitinhonha;Jordânia;E
MG;Trilhas do Rio Doce;José Raydan;D
MG;Veredas do Paraopeba;Juatuba;D
MG;Caminho Novo;Juiz de Fora;B
MG;Sertão Gerais;Juramento;D
MG;Montanhas Cafeeiras de Minas;Juruaia;D
MG;Pedras Preciosas;Ladainha;D
MG;Lago de Irapé;Lagoa dos Patos;D
MG;Trilha dos Inconfidentes;Lagoa Dourada;D
MG;Noroeste das Gerais;LAGOA GRANDE;D
MG;Grutas;Lagoa Santa;C
MG;Pico da Bandeira;Lajinha;D
MG;Águas;Lambari;C
MG;Villas e Fazendas de Minas;Lamim;D
MG;Serras e Cachoeiras;Laranjal;D
MG;Serra do Cabral;Lassance;E
MG;Vale Verde e Quedas D'Água;Lavras;C
MG;Lago de Irapé;Leme do Prado;E
MG;Serras e Cachoeiras;Leopoldina;C
MG;Águas;Liberdade;D
MG;Serras de Ibitipoca;Lima Duarte;C
MG;Velho Chico;Lontra;E
MG;Pico da Bandeira;Luisburgo;E
MG;Vale Verde e Quedas D'Água;Luminárias;D
MG;Trilha dos Inconfidentes;Madre de Deus de Minas;D
MG;Pedras Preciosas;Malacacheta;D
MG;Velho Chico;Manga;D
MG;Pico da Bandeira;Manhuaçu;C
MG;Pico da Bandeira;Manhumirim;D
MG;Caminhos Verdes de Minas;Mar de Espanha;D
MG;Caminhos do Sul de Minas;Maria da Fé;D
MG;Ouro;Mariana;C
MG;Trilhas do Rio Doce;Marilac;E
MG;Veredas do Paraopeba;Mário Campos;D
MG;Mata Atlântica de Minas;Marliéria;D
MG;Caminhos do Sul de Minas;Marmelópolis;D
MG;Lago de Três Marias;Martinho Campos;D
MG;Pico da Bandeira;Martins Soares;E
MG;Vale do Jequitinhonha;Mata Verde;D
MG;Caminho Novo;Matias Barbosa;D
MG;Montanhas e Fé;Matipó;D
MG;Caminhos do Cerrado;Matutina;D
MG;Vale do Jequitinhonha;Medina;D
MG;Caminho Novo;Mercês;D
MG;Pedras Preciosas;Minas Novas;D
MG;Velho Chico;Mirabela;E
MG;Serra do Brigadeiro;Miradouro;D
MG;Serras e Cachoeiras;Miraí;D
MG;Veredas do Paraopeba;Moeda;D
MG;Diamantes;Monjolos;D
MG;Lago de Furnas;Monsenhor Paulo;D
MG;Sertão Gerais;Montes Claros;B
MG;Malhas do Sul de Minas;Monte Sião;C
MG;Lago de Irapé;Montezuma;D
MG;Lago de Três Marias;Morada Nova de Minas;D
MG;Guimarães Rosa;Morro da Garça;D
MG;Serra do Cipó;Morro do Pilar;D
MG;Serras Verdes do Sul de Minas;Munhoz;E
MG;Serra do Brigadeiro;Muriaé;C
MG;Montanhas Cafeeiras de Minas;Muzambinho;D
MG;Trilhas do Rio Doce;Nacip Raydan;D
MG;Pedras Preciosas;Nanuque;C
MG;Noroeste das Gerais;Natalândia;D
MG;Serras Verdes do Sul de Minas;Natércia;E
MG;Trilha dos Inconfidentes;Nazareno;D
MG;Vale Verde e Quedas D'Água;Nepomuceno;D
MG;Trilhas do Rio Doce;Nova Belém;D
MG;Ouro;Nova Era;D
MG;Ouro;Nova Lima;C
MG;Montanhas Cafeeiras de Minas;Nova Resende;D
MG;Serra do Cipó;Nova União;D
MG;Pedras Preciosas;Novo Cruzeiro;D
MG;Pedras Preciosas;Novo Oriente de Minas;E
MG;Lago de Irapé;Novorizonte;E
MG;Serras de Ibitipoca;Olaria;E
MG;Sertão Gerais;Olhos-d'Água;E
MG;Campo das Vertentes;Oliveira;D
MG;Verde - Trilha dos Bandeirantes;Onça de Pitangui;E
MG;Ouro;Ouro Branco;C
MG;Malhas do Sul de Minas;Ouro Fino;C
MG;Ouro;Ouro Preto;B
MG;Pedras Preciosas;Padre Paraíso;D
MG;Lago de Três Marias;Paineiras;D
MG;Grutas e Mar de Minas;Pains;D
MG;Serras e Cachoeiras;Palma;D
MG;Noroeste das Gerais;Paracatu;B
MG;Verde - Trilha dos Bandeirantes;Pará de Minas;C
MG;Lago de Furnas;Paraguaçu;D
MG;Serras Verdes do Sul de Minas;Paraisópolis;D
MG;Grutas;Paraopeba;D
MG;Águas;Passa-Vinte;D
MG;Terras Altas da Mantiqueira;Passa Quatro;C
MG;Nascentes das Gerais;Passos;C
MG;Noroeste das Gerais;Patos de Minas;B
MG;Caminhos do Cerrado;Patrocínio;C
MG;Serra do Brigadeiro;Patrocínio do Muriaé;D
MG;Serras de Minas;Paula Cândido;D
MG;Trilhas do Rio Doce;Paulistas;E
MG;Pedras Preciosas;Pavão;D
MG;Trilhas do Rio Doce;Peçanha;D
MG;Vale do Jequitinhonha;Pedra Azul;D
MG;Serra do Brigadeiro;Pedra Bonita;D
MG;Montanhas e Fé;Pedra do Anta;E
MG;Pico da Bandeira;Pedra Dourada;D
MG;Caminhos do Sul de Minas;Pedralva;E
MG;Velho Chico;Pedras de Maria da Cruz;D
MG;Grutas;Pedro Leopoldo;D
MG;Verde - Trilha dos Bandeirantes;Pequi;D
MG;Canastra;Perdizes;D
MG;Vale Verde e Quedas D'Água;Perdões;D
MG;Caminhos Verdes de Minas;Piau;D
MG;Rota do Muriqui;Piedade de Caratinga;D
MG;Trilha dos Inconfidentes;Piedade do Rio Grande;D
MG;Veredas do Paraopeba;Piedade dos Gerais;D
MG;Grutas e Mar de Minas;Pimenta;D
MG;Alta Mogiana;Pirajuba;D
MG;Villas e Fazendas de Minas;Piranga;D
MG;Caminhos do Sul de Minas;Piranguçu;E
MG;Caminhos do Sul de Minas;Piranguinho;D
MG;Serras e Cachoeiras;Pirapetinga;D
MG;Guimarães Rosa;Pirapora;C
MG;Verde - Trilha dos Bandeirantes;Pitangui;D
MG;Nascentes das Gerais;Piumhi;D
MG;Alta Mogiana;Planura;D
MG;Caminhos Gerais;Poço Fundo;D
MG;Caminhos Gerais;Poços de Caldas;B
MG;Lago de Três Marias;Pompéu;D
MG;Montanhas e Fé;Ponte Nova;C
MG;Vale do Jequitinhonha;Ponto dos Volantes;D
MG;Pedras Preciosas;Poté;D
MG;Terras Altas da Mantiqueira;Pouso Alto;D
MG;Trilha dos Inconfidentes;Prados;C
MG;Serras de Minas;Presidente Bernardes;D
MG;Guimarães Rosa;Presidente Juscelino;E
MG;Diamantes;Presidente Kubitschek;E
MG;Noroeste das Gerais;Presidente Olegário;D
MG;Caminhos do Indaiá;Quartel Geral;E
MG;Villas e Fazendas de Minas;Queluzito;D
MG;Ouro;Raposos;D
MG;Montanhas e Fé;Raul Soares;D
MG;Trilha dos Inconfidentes;Resende Costa;D
MG;Trilhas do Rio Doce;Resplendor;D
MG;Nascente do Rio Doce;Ressaquinha;D
MG;Noroeste das Gerais;Riachinho;D
MG;Verde - Trilha dos Bandeirantes;Ribeirão das Neves;D
MG;Ouro;Rio Acima;E
MG;Montanhas e Fé;Rio Casca;D
MG;Serras de Minas;Rio Doce;E
MG;Villas e Fazendas de Minas;Rio Espera;D
MG;Caminhos Verdes de Minas;Rio Novo;D
MG;Caminhos do Cerrado;Rio Paranaíba;D
MG;Caminhos Verdes de Minas;Rio Pomba;D
MG;Serras de Ibitipoca;Rio Preto;D
MG;Diamantes;Rio Vermelho;D
MG;Trilha dos Inconfidentes;Ritápolis;E
MG;Serras e Cachoeiras;Rodeiro;E
MG;Serra do Brigadeiro;Rosário da Limeira;E
MG;Cachaça;Rubelita;E
MG;Vale do Jequitinhonha;Rubim;E
MG;Ouro;Sabará;C
MG;Canastra;Sacramento;D
MG;Cachaça;Salinas;C
MG;Ouro;Santa Bárbara;C
MG;Trilha dos Inconfidentes;Santa Cruz de Minas;D
MG;Noroeste das Gerais;Santa Fé de Minas;D
MG;Serra do Cipó;Santa Maria de Itabira;D
MG;Trilhas do Rio Doce;Santa Maria do Suaçuí;D
MG;Caminho Novo;Santana do Deserto;D
MG;Serras de Ibitipoca;Santana do Garambéu;E
MG;Pico da Bandeira;Santana do Manhuaçu;E
MG;Mata Atlântica de Minas;Santana do Paraíso;D
MG;Serra do Cipó;Santana do Riacho;C
MG;Villas e Fazendas de Minas;Santana dos Montes;D
MG;Serras de Ibitipoca;Santa Rita de Ibitipoca;E
MG;Serras de Ibitipoca;Santa Rita de Jacutinga;D
MG;Rota do Muriqui;Santa Rita de Minas;D
MG;Caminhos do Sul de Minas;Santa Rita do Sapucaí;D
MG;Caminhos do Indaiá;Santa Rosa da Serra;E
MG;Campo das Vertentes;Santo Antônio do Amparo;D
MG;Serras e Cachoeiras;Santo Antônio do Aventureiro;D
MG;Montanhas e Fé;Santo Antônio do Grama;D
MG;Diamantes;Santo Antônio do Itambé;D
MG;Lago de Irapé;Santo Antônio do Retiro;E
MG;Guimarães Rosa;Santo Hipólito;E
MG;Caminho Novo;Santos Dumont;D
MG;Vale Verde e Quedas D'Água;São Bento Abade;E
MG;Veredas do Paraopeba;São Brás do Suaçuí;D
MG;Mata Atlântica de Minas;São Domingos do Prata;D
MG;Trilhas do Rio Doce;São Félix de Minas;E
MG;Velho Chico;São Francisco;D
MG;Campo das Vertentes;SÃO FRANCISCO DE PAULA;D
MG;Pico da Bandeira;São Francisco do Glória;E
MG;Lago de Três Marias;São Gonçalo do Abaeté;D
MG;Diamantes;São Gonçalo do Rio Preto;D
MG;Caminhos do Cerrado;São Gotardo;D
MG;Nascentes das Gerais;São João Batista do Glória;D
MG;Lago de Irapé;São João da Lagoa;E
MG;Trilha dos Inconfidentes;São João del Rei;B
MG;Sertão Gerais;São João do Pacuí;E
MG;Trilhas do Rio Doce;São João Evangelista;D
MG;Caminhos Verdes de Minas;São João Nepomuceno;D
MG;Veredas do Paraopeba;São Joaquim de Bicas;D
MG;Nascentes das Gerais;São José da Barra;D
MG;Trilhas do Rio Doce;São José da Safira;E
MG;Trilhas do Rio Doce;São José do Divino;E
MG;Montanhas e Fé;São José do Goiabal;D
MG;Trilhas do Rio Doce;São José do Jacuri;D
MG;Rota do Muriqui;São José do Mantimento;E
MG;Águas;São Lourenço;B
MG;Serras de Minas;São Miguel do Anta;D
MG;Montanhas Cafeeiras de Minas;São Pedro da União;E
MG;Montanhas e Fé;São Pedro dos Ferros;D
MG;Trilhas do Rio Doce;São Pedro do Suaçuí;D
MG;Canastra;São Roque de Minas;D
MG;Serras e Cachoeiras;São Sebastião da Vargem Alegre;E
MG;Trilhas do Rio Doce;São Sebastião do Maranhão;E
MG;Montanhas Cafeeiras de Minas;São Sebastião do Paraíso;C
MG;Terras Altas da Mantiqueira;São Sebastião do Rio Verde;E
MG;Vale Verde e Quedas D'Água;São Thomé das Letras;C
MG;Trilha dos Inconfidentes;São Tiago;D
MG;Trilha dos Inconfidentes;São Vicente de Minas;D
MG;Serras Verdes do Sul de Minas;Sapucaí-Mirim;D
MG;Veredas do Paraopeba;Sarzedo;D
MG;Montanhas e Fé;Sem-Peixe;E
MG;Serras Verdes do Sul de Minas;Senador Amaral;E
MG;Diamantes;Senador Modestino Gonçalves;D
MG;Villas e Fazendas de Minas;Senhora de Oliveira;D
MG;Trilhas do Rio Doce;Senhora do Porto;D
MG;Nascente do Rio Doce;Senhora dos Remédios;D
MG;Montanhas e Fé;Sericita;E
MG;Diamantes;Serra Azul de Minas;E
MG;Pedras Preciosas;Serra dos Aimorés;E
MG;Caminhos do Cerrado;Serra do Salitre;D
MG;Diamantes;Serro;C
MG;Grutas;Sete Lagoas;B
MG;Pedras Preciosas;Setubinha;E
MG;Caminho Novo;Simão Pereira;D
MG;Pico da Bandeira;Simonésia;D
MG;Trilhas do Rio Doce;Sobrália;E
MG;Águas;Soledade de Minas;D
MG;Cachaça;Taiobeiras;D
MG;Rota do Muriqui;Taparuba;E
MG;Canastra;Tapira;D
MG;Rota do Muriqui;Tarumirim;D
MG;Serras de Minas;Teixeiras;D
MG;Pedras Preciosas;Teófilo Otoni;C
MG;Mata Atlântica de Minas;Timóteo;C
MG;Trilha dos Inconfidentes;Tiradentes;B
MG;Caminhos do Cerrado;Tiros;D
MG;Serras Verdes do Sul de Minas;Tocos do Moji;E
MG;Serras Verdes do Sul de Minas;Toledo;D
MG;Pico da Bandeira;Tombos;D
MG;Águas;Três Corações;C
MG;Lago de Três Marias;Três Marias;C
MG;Vale Verde e Quedas D'Água;Três Pontas;D
MG;Trilhas do Rio Doce;Tumiritinga;E
MG;Alta Mogiana;Tupaciguara;D
MG;Lago de Irapé;Turmalina;D
MG;Serras de Minas;Ubá;C
MG;Rota do Muriqui;Ubaporanga;D
MG;Alta Mogiana;Uberaba;B
MG;Alta Mogiana;Uberlândia;B
MG;Noroeste das Gerais;Unaí;C
MG;Noroeste das Gerais;Uruana de Minas;E
MG;Montanhas e Fé;Urucânia;D
MG;Urucuia Grande Sertão;Urucuia;D
MG;Canastra;Vargem Bonita;D
MG;Lago de Irapé;Vargem Grande do Rio Pardo;E
MG;Vale Verde e Quedas D'Água;Varginha;C
MG;Sertão Gerais;Varzelândia;D
MG;Noroeste das Gerais;Vazante;D
MG;Lago de Irapé;Veredinha;E
MG;Montanhas e Fé;Vermelho Novo;E
MG;Grutas;Vespasiano;D
MG;Serras de Minas;Viçosa;C
MG;Vale do Jequitinhonha;Virgem da Lapa;D
MG;Terras Altas da Mantiqueira;Virgínia;D
MG;Trilhas do Rio Doce;Virginópolis;D
MG;Trilhas do Rio Doce;Virgolândia;D
MS;Rota Norte;Alcinópolis;E
MS;Costa Leste;Aparecida do Taboado;D
MS;Pantanal;Aquidauana;C
MS;Costa Leste;Bataguassu;C
MS;Vale das Águas;Batayporã;D
MS;Bonito / Serra da Bodoquena;Bela Vista;D
MS;Bonito / Serra da Bodoquena;Bodoquena;D
MS;Bonito / Serra da Bodoquena;Bonito;B
MS;Caminho dos Ipês;Campo Grande;A
MS;Vale do Aporé;Cassilândia;D
MS;Caminho dos Ipês;Corguinho;D
MS;Pantanal;Corumbá;B
MS;Rota Norte;Costa Rica;C
MS;Rota Norte;Coxim;C
MS;Caminho dos Ipês;Dois Irmãos do Buriti;D
MS;Grande Dourados;Dourados;B
MS;7 Caminhos da Natureza / Cone Sul;Eldorado;D
MS;Grande Dourados;Fátima do Sul;D
MS;Rota Norte;Figueirão;E
MS;Grande Dourados;Glória de Dourados;D
MS;7 Caminhos da Natureza / Cone Sul;Iguatemi;D
MS;Vale do Aporé;Inocência;D
MS;7 Caminhos da Natureza / Cone Sul;Itaquiraí;D
MS;Vale das Águas;Ivinhema;C
MS;7 Caminhos da Natureza / Cone Sul;Japorã;D
MS;Caminho dos Ipês;Jaraguari;D
MS;Bonito / Serra da Bodoquena;Jardim;C
MS;Vale das Águas;Jateí;D
MS;Pantanal;Ladário;D
MS;Pantanal;Miranda;C
MS;7 Caminhos da Natureza / Cone Sul;Naviraí;C
MS;Bonito / Serra da Bodoquena;Nioaque;D
MS;Vale das Águas;Nova Andradina;C
MS;Vale das Águas;Novo Horizonte do Sul;E
MS;Rota Norte;Paraíso das Águas;E
MS;Vale do Aporé;Paranaíba;C
MS;Grande Dourados;Ponta Porã;C
MS;Bonito / Serra da Bodoquena;Porto Murtinho;D
MS;Caminho dos Ipês;Ribas do Rio Pardo;D
MS;Caminho dos Ipês;Rio Negro;D
MS;Rota Norte;Rio Verde de Mato Grosso;C
MS;Rota Norte;São Gabriel do Oeste;D
MS;Caminho dos Ipês;Sidrolândia;D
MS;Rota Norte;Sonora;D
MS;Vale das Águas;Taquarussu;E
MS;Costa Leste;Três Lagoas;B
MS;Grande Dourados;Vicentina;E
MT;Região Turística Amazônia Mato-Grossense;Alta Floresta;C
MT;Região Turística Domo de Araguainha;Alto Araguaia;D
MT;Região Turística Domo de Araguainha;Alto Garças;D
MT;Região Turística Domo de Araguainha;Alto Taquari;D
MT;Região Turística Domo de Araguainha;Araguainha;D
MT;Região Turística Vale do Juruena;Aripuanã;C
MT;Região Turística  Pantanal Mato-Grossense;Barão de Melgaço;D
MT;Região Turística das Nascentes;Barra do Bugres;D
MT;Região Turística Portal do Araguaia;Barra do Garças;B
MT;Região Turística das Nascentes;Brasnorte;D
MT;Região Turística  Pantanal Mato-Grossense;Cáceres;B
MT;Região Turística Portal do Araguaia;Campinápolis;D
MT;Região Turística das Nascentes;Campo Novo do Parecis;C
MT;Região Turística das Nascentes;Campos de Júlio;D
MT;Região Turística Vale do São Lourenço;Campo Verde;C
