UF;REGIAO;MUNICIPIO;CATEGORIA
BA;Caminhos do Oeste;Bom Jesus da Lapa;B
BA;Chapada Diamantina;BONITO;D
BA;Chapada Diamantina;Brotas de Macaúbas;D
BA;Baía de Todos os Santos;Cachoeira;C
BA;Costa do Dendê;Cairu;A
BA;Costa dos Coqueiros;Camaçari;B
BA;Costa do Dendê;Camamu;C
BA;Vale do São Francisco;Campo Alegre de Lourdes;D
BA;Chapada Diamantina;Campo Formoso;D
BA;Costa do Cacau;Canavieiras;C
BA;Baía de Todos os Santos;Candeias;D
BA;Caminhos do Sertão;Canudos;D
BA;Chapada Diamantina;Capim Grosso;D
BA;Costa das Baleias;Caravelas;D
BA;Vale do São Francisco;Casa Nova;D
BA;Caminhos do Jiquiriçá;Castro Alves;D
BA;Caminhos do Sertão;Cipó;D
BA;Caminhos do Oeste;Cocos;D
BA;Caminhos do Sertão;Conceição da Feira;D
BA;Caminhos do Jiquiriçá;Conceição do Almeida;D
BA;Costa dos Coqueiros;Conde;C
BA;Caminhos do Oeste;Correntina;C
BA;Caminhos do Jiquiriçá;Cruz das Almas;C
BA;Vale do São Francisco;Curaçá;D
BA;Costa dos Coqueiros;Dias d'Ávila;C
BA;Chapada Diamantina;Dom Basílio;D
BA;Caminhos do Jiquiriçá;Dom Macedo Costa;D
BA;Costa dos Coqueiros;Entre Rios;C
BA;Costa dos Coqueiros;Esplanada;D
BA;Caminhos do Sertão;Euclides da Cunha;C
BA;Caminhos do Sertão;Feira de Santana;B
BA;Caminhos do Oeste;Formosa do Rio Preto;D
BA;Chapada Diamantina;Gentio do Ouro;E
BA;Costa do Descobrimento;Guaratinga;E
BA;Chapada Diamantina;Ibicoara;D
BA;Caminhos do Oeste;Ibotirama;D
BA;Caminhos do Oeste;Igaporã;D
BA;Costa do Dendê;Igrapiúna;E
BA;Caminhos do Sudoeste;Iguaí;D
BA;Costa do Cacau;Ilhéus;B
BA;Costa do Cacau;Ipiaú;C
BA;Caminhos do Jiquiriçá;Irajuba;E
BA;Chapada Diamantina;Iraquara;D
BA;Caminhos do Sertão;Irará;D
BA;Costa do Cacau;Itabuna;B
BA;Costa do Cacau;Itacaré;B
BA;Costa das Baleias;Itamaraju;C
BA;Caminhos do Sudoeste;ITAMBÉ;D
BA;Costa das Baleias;Itanhém;E
BA;Baía de Todos os Santos;Itaparica;C
BA;Caminhos do Sertão;Itapicuru;D
BA;Caminhos do Jiquiriçá;Itatim;D
BA;Caminhos do Jiquiriçá;Itiruçu;D
BA;Caminhos do Sudoeste;Itororó;D
BA;Chapada Diamantina;Ituaçu;D
BA;Costa do Dendê;Ituberá;D
BA;Chapada Diamantina;Jacobina;C
BA;Chapada Diamantina;Jaguarari;D
BA;Baía de Todos os Santos;Jaguaripe;D
BA;Costa dos Coqueiros;Jandaíra;D
BA;Caminhos do Sudoeste;Jequié;B
BA;Caminhos do Jiquiriçá;Jiquiriçá;D
BA;Vale do São Francisco;Juazeiro;B
BA;Chapada Diamantina;Jussiape;D
BA;Costa dos Coqueiros;Lauro de Freitas;C
BA;Chapada Diamantina;Lençóis;B
BA;Caminhos do Oeste;Luís Eduardo Magalhães;B
BA;Baía de Todos os Santos;Madre de Deus;D
BA;Caminhos do Sudoeste;Maracás;D
BA;Baía de Todos os Santos;Maragogipe;C
